臺灣 Taiwan,#genre#
Oasis,https://smart.pendy.dpdns.org/Smart.php?id=Oasis
HBO HD,https://smart.pendy.dpdns.org/Smart.php?id=Hbo
HBO Signature,https://smart.pendy.dpdns.org/Smart.php?id=Hbosignature
HBO Hits,https://smart.pendy.dpdns.org/Smart.php?id=Hbohits
NatGeo Wild HD,https://smart.pendy.dpdns.org/Smart.php?id=Natgeowild
Cartoon Network,https://smart.pendy.dpdns.org/Smart.php?id=Cn
Nickelodeon,https://smart.pendy.dpdns.org/Smart.php?id=Nickelodeon
Nick Jr,https://smart.pendy.dpdns.org/Smart.php?id=Nickjr
Citra,https://smart.pendy.dpdns.org/Smart.php?id=Citra
Sensasi,https://smart.pendy.dpdns.org/Smart.php?id=Sensasi
Aura,https://smart.pendy.dpdns.org/Smart.php?id=Aura
Rania,https://smart.pendy.dpdns.org/Smart.php?id=Rania
Boo,https://smart.pendy.dpdns.org/Smart.php?id=Boo
Awesome TV,https://smart.pendy.dpdns.org/Smart.php?id=Awesome_mega
Sony HD,https://smart.pendy.dpdns.org/Smart.php?id=SetOne
KBS World,https://smart.pendy.dpdns.org/Smart.php?id=KBS
TvN,https://smart.pendy.dpdns.org/Smart.php?id=TVN
Astro Premier,https://smart.pendy.dpdns.org/Smart.php?id=Astropremier
AEC,https://smart.pendy.dpdns.org/Smart.php?id=AEC
華麗台 HD,https://smart.pendy.dpdns.org/Smart.php?id=Wlt
歡喜台 HD,https://smart.pendy.dpdns.org/Smart.php?id=Huahee
歡喜台(備用),https://smart.pendy.dpdns.org/Smart.php?id=Huahee_backup
Astro QJ,https://smart.pendy.dpdns.org/Smart.php?id=Quanjia
TVB Jade,https://smart.pendy.dpdns.org/Smart.php?id=Tvbjade
TVBS Asia,https://smart.pendy.dpdns.org/Smart.php?id=Tvbasia
TVB Entertainment,https://smart.pendy.dpdns.org/Smart.php?id=Tvbentertainment
TVB Classic,https://smart.pendy.dpdns.org/Smart.php?id=Tvbclassic
AOD,https://smart.pendy.dpdns.org/Smart.php?id=AodHD
One,https://smart.pendy.dpdns.org/Smart.php?id=One_mega
TVB 星河台,https://smart.pendy.dpdns.org/Smart.php?id=Xinhe
愛奇藝,https://smart.pendy.dpdns.org/Smart.php?id=Qiyi
Animal Planet (Eng),https://smart.pendy.dpdns.org/Smart.php?id=AnimalPlanet
tvN Movie,https://smart.pendy.dpdns.org/Smart.php?id=Tvnmovie
CNN(備用),https://smart.pendy.dpdns.org/Smart.php?id=cnn_twn
Celestial Classic,https://smart.pendy.dpdns.org/Smart.php?id=Celestial2
CNBC,https://smart.pendy.dpdns.org/Smart.php?id=cnbc_twn
RTM Sports HD,https://smart.pendy.dpdns.org/Smart.php?id=Rtmsport
TLC,https://smart.pendy.dpdns.org/Smart.php?id=Tlc
CNA,https://smart.pendy.dpdns.org/Smart.php?id=cna
AFC 亞洲旅遊台,https://smart.pendy.dpdns.org/Smart.php?id=asiatravel_twn
BBC World News,https://smart.pendy.dpdns.org/Smart.php?id=bbcnews_twn
Foodnetwork Hd,https://smart.pendy.dpdns.org/Smart.php?id=Foodnetwork_mega
HGTV,https://smart.pendy.dpdns.org/Smart.php?id=HGTV
Arena,https://smart.pendy.dpdns.org/Smart.php?id=Arena
Goshop,https://smart.pendy.dpdns.org/Smart.php?id=Goshop
Celestial Movies HD,https://smart.pendy.dpdns.org/Smart.php?id=Celestial_mega
Arena 2,https://smart.pendy.dpdns.org/Smart.php?id=Arena2
Axn HD,https://smart.pendy.dpdns.org/Smart.php?id=Axn
Paramount Network,https://smart.pendy.dpdns.org/Smart.php?id=Paramountnetwork
BolaArena 1,https://smart.pendy.dpdns.org/Smart.php?id=Bolaarena1
Astrol Kplus,https://smart.pendy.dpdns.org/Smart.php?id=Kplus
Rock Actions,https://smart.pendy.dpdns.org/Smart.php?id=Rockaction
Bloomberg News,https://smart.pendy.dpdns.org/Smart.php?id=bloomberg_twn
Al-Jazeera,https://smart.pendy.dpdns.org/Smart.php?id=aljazeera_twn
Rock Entertainment,https://smart.pendy.dpdns.org/Smart.php?id=Rockentertain
Showcase,https://smart.pendy.dpdns.org/Smart.php?id=Showcase_mega
BolaArena 2,https://smart.pendy.dpdns.org/Smart.php?id=Bolaarena2
新加坡 Singapore,#genre#
Channel 5,https://smart.pendy.dpdns.org/Smart.php?id=Channel5HD
Channel 5(備用),https://smart.pendy.dpdns.org/Smart.php?id=Ch5_mega
Channel 8,https://smart.pendy.dpdns.org/Smart.php?id=Channel8HD
Channel 8(備用),https://smart.pendy.dpdns.org/Smart.php?id=Ch8_mega
Suria,https://smart.pendy.dpdns.org/Smart.php?id=Suria
Suria(備用),https://smart.pendy.dpdns.org/Smart.php?id=Suria_backup
Channel U,https://smart.pendy.dpdns.org/Smart.php?id=ChannelU
Channel U(備用),https://smart.pendy.dpdns.org/Smart.php?id=ChU_mega
Vasantham,https://smart.pendy.dpdns.org/Smart.php?id=Vasantham
Vasantham(備用),https://smart.pendy.dpdns.org/Smart.php?id=Vasantham_mega
CNA,https://smart.pendy.dpdns.org/Smart.php?id=cna
CNA(備用),https://smart.pendy.dpdns.org/Smart.php?id=cna_twn
印尼 Indonesia,#genre#
TVRI National,https://smart.pendy.dpdns.org/Smart.php?id=TVRI
RCTI,https://smart.pendy.dpdns.org/Smart.php?id=Rcti
Kompass TV,https://smart.pendy.dpdns.org/Smart.php?id=Kompass
Berita Satu,https://smart.pendy.dpdns.org/Smart.php?id=BeritaSatu_eko
Indosiar HD,https://smart.pendy.dpdns.org/Smart.php?id=Indosiar
AnTV,https://smart.pendy.dpdns.org/Smart.php?id=Antv
MNC TV,https://smart.pendy.dpdns.org/Smart.php?id=Mnctv
Trans 7,https://smart.pendy.dpdns.org/Smart.php?id=Trans7_eko
Transtv,https://smart.pendy.dpdns.org/Smart.php?id=Transtv
JTV,https://smart.pendy.dpdns.org/Smart.php?id=JTV_eko
Metro TV,https://smart.pendy.dpdns.org/Smart.php?id=metrotv_eko
Cinemax,https://smart.pendy.dpdns.org/Smart.php?id=Cinemax
SCTV,https://smart.pendy.dpdns.org/Smart.php?id=SCTV
Tvone,https://smart.pendy.dpdns.org/Smart.php?id=Tvone
TVMU,https://smart.pendy.dpdns.org/Smart.php?id=TVMU_eko
GTV,https://smart.pendy.dpdns.org/Smart.php?id=Gtv
RTV,https://smart.pendy.dpdns.org/Smart.php?id=Rtv
Jak TV,https://smart.pendy.dpdns.org/Smart.php?id=JakTV
iNews TV,https://smart.pendy.dpdns.org/Smart.php?id=Inewstv
Daai TV,https://smart.pendy.dpdns.org/Smart.php?id=DaaiTV
Net TV,https://smart.pendy.dpdns.org/Smart.php?id=NetTV
Animax,https://smart.pendy.dpdns.org/Smart.php?id=Animax
EWTN,https://smart.pendy.dpdns.org/Smart.php?id=Ewtn
AlQuran AlKareem,https://smart.pendy.dpdns.org/Smart.php?id=AlQuran
Tawaf TV,https://smart.pendy.dpdns.org/Smart.php?id=TawafTV
Vision Prime,https://smart.pendy.dpdns.org/Smart.php?id=VisionPrime
Muslim TV,https://smart.pendy.dpdns.org/Smart.php?id=MuslimTV
Music TV,https://smart.pendy.dpdns.org/Smart.php?id=MusicTV
Lifestyle&Fashion,https://smart.pendy.dpdns.org/Smart.php?id=Lifestyle
Entertain,https://smart.pendy.dpdns.org/Smart.php?id=Entertain
Hits,https://smart.pendy.dpdns.org/Smart.php?id=Hits
Warner TV,https://smart.pendy.dpdns.org/Smart.php?id=WarnerTV
SCM,https://smart.pendy.dpdns.org/Smart.php?id=Weishimovie
Thrill,https://smart.pendy.dpdns.org/Smart.php?id=Thrill
Fight Sports,https://smart.pendy.dpdns.org/Smart.php?id=Fs
Beinsports 2 HD,https://smart.pendy.dpdns.org/Smart.php?id=Bein2hd
Hits Movie,https://smart.pendy.dpdns.org/Smart.php?id=Hitsmovie
One,https://smart.pendy.dpdns.org/Smart.php?id=One_mega
tvN Movie,https://smart.pendy.dpdns.org/Smart.php?id=Tvnmovie
Celestial Movies HD,https://smart.pendy.dpdns.org/Smart.php?id=Celestialindo
Rock Actions,https://smart.pendy.dpdns.org/Smart.php?id=Rockaction
Rock Entertainment,https://smart.pendy.dpdns.org/Smart.php?id=Rockentertain
香港 Hongkong,#genre#
J2(備用),https://smart.pendy.dpdns.org/Smart.php?id=j2_hkdavid
J2,https://smart.pendy.dpdns.org/Smart.php?id=j2_twn
RHK 31,https://smart.pendy.dpdns.org/Smart.php?id=rhk31_twn
RHK 32,https://smart.pendy.dpdns.org/Smart.php?id=rhk32_twn
TVB 星河,https://smart.pendy.dpdns.org/Smart.php?id=tvbxinhe_twn
VIUTV1,https://smart.pendy.dpdns.org/Smart.php?id=viu1_twn
Viu TV 69,https://smart.pendy.dpdns.org/Smart.php?id=viutv69_hkdavid
Viu6,https://smart.pendy.dpdns.org/Smart.php?id=viusix_twn
iNews 新聞台,https://smart.pendy.dpdns.org/Smart.php?id=inews_twn
無線財經資訊台,https://smart.pendy.dpdns.org/Smart.php?id=tvbcaijing_twn
珍珠台(備用),https://smart.pendy.dpdns.org/Smart.php?id=pearl_hkdavid
珍珠台,https://smart.pendy.dpdns.org/Smart.php?id=pearl_twn
翡翠台(備用),https://smart.pendy.dpdns.org/Smart.php?id=jade_mike
翡翠台,https://smart.pendy.dpdns.org/Smart.php?id=jade_twn
鳳凰衛視,https://smart.pendy.dpdns.org/Smart.php?id=phoenixtv_hd
鳳凰資訊,https://smart.pendy.dpdns.org/Smart.php?id=phoenixinfo_hd
鳳凰香港,https://smart.pendy.dpdns.org/Smart.php?id=hkphoenix_twn
中國 China,#genre#
CCTV-1,https://smart.pendy.dpdns.org/Smart.php?id=cctv1
CCTV-2,https://smart.pendy.dpdns.org/Smart.php?id=cctv2
CCTV-3,https://smart.pendy.dpdns.org/Smart.php?id=cctv3
CCTV-4,https://smart.pendy.dpdns.org/Smart.php?id=cctv4
CCTV-4 ,https://smart.pendy.dpdns.org/Smart.php?id=Cctv4
CCTV-5,https://smart.pendy.dpdns.org/Smart.php?id=cctv5
CCTV-5+,https://smart.pendy.dpdns.org/Smart.php?id=cctv5plus
CCTV-6,https://smart.pendy.dpdns.org/Smart.php?id=cctv6
CCTV-7,https://smart.pendy.dpdns.org/Smart.php?id=cctv7
CCTV-8,https://smart.pendy.dpdns.org/Smart.php?id=cctv8hd
CCTV-9,https://smart.pendy.dpdns.org/Smart.php?id=cctv9hd
CCTV-10,https://smart.pendy.dpdns.org/Smart.php?id=cctv10hd
CCTV-11,https://smart.pendy.dpdns.org/Smart.php?id=cctv11
CCTV-12,https://smart.pendy.dpdns.org/Smart.php?id=cctv12
CCTV-13,https://smart.pendy.dpdns.org/Smart.php?id=cctv13
CCTV-14,https://smart.pendy.dpdns.org/Smart.php?id=cctv14
CCTV-15,https://smart.pendy.dpdns.org/Smart.php?id=cctv15
CCTV-16,https://smart.pendy.dpdns.org/Smart.php?id=cctv16
CCTV-17,https://smart.pendy.dpdns.org/Smart.php?id=cctv17
湖南衛視,https://smart.pendy.dpdns.org/Smart.php?id=hunan_twn
江蘇衛視,https://smart.pendy.dpdns.org/Smart.php?id=jiangsu_twn
深圳衛視,https://smart.pendy.dpdns.org/Smart.php?id=shenzhen
大灣區衛視,https://smart.pendy.dpdns.org/Smart.php?id=nanfang_twn
廣東衛視,https://smart.pendy.dpdns.org/Smart.php?id=guangdongweishi_twn
北京衛視,https://smart.pendy.dpdns.org/Smart.php?id=beijing
廣東珠江,https://smart.pendy.dpdns.org/Smart.php?id=zhujiang
廣西衛視,https://smart.pendy.dpdns.org/Smart.php?id=guangxi
湖北衛視,https://smart.pendy.dpdns.org/Smart.php?id=hubei
四川衛視,https://smart.pendy.dpdns.org/Smart.php?id=sichuan_twn
鳳凰衛視,https://smart.pendy.dpdns.org/Smart.php?id=phoenixtv_hd
東方衛視,https://smart.pendy.dpdns.org/Smart.php?id=dongfangweishi_twn
CGTN,https://smart.pendy.dpdns.org/Smart.php?id=CGTN
鳳凰資訊,https://smart.pendy.dpdns.org/Smart.php?id=phoenixinfo_hd
體育 Sports,#genre#
Supersports 1,https://smart.pendy.dpdns.org/Smart.php?id=Assp1
Supersports 1(備用),https://smart.pendy.dpdns.org/Smart.php?id=go_assp1
Supersportq 1(備用2),https://smart.pendy.dpdns.org/Smart.php?id=Assp1_mega
Supersports 2,https://smart.pendy.dpdns.org/Smart.php?id=Assp2
Supersports 2(備用),https://smart.pendy.dpdns.org/Smart.php?id=go_assp2
Supersports 3,https://smart.pendy.dpdns.org/Smart.php?id=Assp3
Supersports 3(備用),https://smart.pendy.dpdns.org/Smart.php?id=go_assp3
Supersports 3(備用2),https://smart.pendy.dpdns.org/Smart.php?id=Assp3_mega
Supersports 4,https://smart.pendy.dpdns.org/Smart.php?id=Assp4_mega
Supersports 4(備用),https://smart.pendy.dpdns.org/Smart.php?id=go_assp4
Supersports 5,https://smart.pendy.dpdns.org/Smart.php?id=go_assp5
Bein 2HD,https://smart.pendy.dpdns.org/Smart.php?id=Beinhd
Beinsports HD,https://smart.pendy.dpdns.org/Smart.php?id=Besports
Champion 5 EPL,https://smart.pendy.dpdns.org/Smart.php?id=Champion5epl
WWE,https://smart.pendy.dpdns.org/Smart.php?id=Wwe
Champion 6 EPL,https://smart.pendy.dpdns.org/Smart.php?id=Champion6epl
Fight Sports,https://smart.pendy.dpdns.org/Smart.php?id=Fs
UFC Network,https://smart.pendy.dpdns.org/Smart.php?id=ufc_mega
NBA TV,https://smart.pendy.dpdns.org/Smart.php?id=nbatv_twn
Astro Cricket,https://smart.pendy.dpdns.org/Smart.php?id=Acricket_mega
Astro Golf,https://smart.pendy.dpdns.org/Smart.php?id=Agolf
TNT Sports 1,https://smart.pendy.dpdns.org/Smart.php?id=beeone
TNT Sports 2,https://smart.pendy.dpdns.org/Smart.php?id=beetwo
TNT Sports 3,https://smart.pendy.dpdns.org/Smart.php?id=beethree
TNT Sports 4,https://smart.pendy.dpdns.org/Smart.php?id=beefour
Sony Ten 1,https://smart.pendy.dpdns.org/Smart.php?id=ten1_raj
Sony Ten 2,https://smart.pendy.dpdns.org/Smart.php?id=ten2_raj
Sony Ten 3,https://smart.pendy.dpdns.org/Smart.php?id=ten3_raj
SPOTV 1 HD,https://smart.pendy.dpdns.org/Smart.php?id=go_spotv
SPO TV 2,https://smart.pendy.dpdns.org/Smart.php?id=go_spotv2
Beinsports 2 HD,https://smart.pendy.dpdns.org/Smart.php?id=Bein2hd
Skysports Arena,https://smart.pendy.dpdns.org/Smart.php?id=tiankongarena
Skysports F1,https://smart.pendy.dpdns.org/Smart.php?id=tiankongf1
Skysports Cricket,https://smart.pendy.dpdns.org/Smart.php?id=tiankongcricket
Skysports EPL,https://smart.pendy.dpdns.org/Smart.php?id=tiankongepl
Skysports Football,https://smart.pendy.dpdns.org/Smart.php?id=tiankongfootball
Skysports Golf,https://smart.pendy.dpdns.org/Smart.php?id=tiankonggolf
Skysports Main Event,https://smart.pendy.dpdns.org/Smart.php?id=tiankongmain
Skysports News,https://smart.pendy.dpdns.org/Smart.php?id=tiankongnews
Skysports NFL,https://smart.pendy.dpdns.org/Smart.php?id=tiankongnfl
Skysports Racing,https://smart.pendy.dpdns.org/Smart.php?id=tiankongracing
Skysports Mix,https://smart.pendy.dpdns.org/Smart.php?id=tiankongmix
CCTV-5,https://smart.pendy.dpdns.org/Smart.php?id=cctv5
CCTV-5+,https://smart.pendy.dpdns.org/Smart.php?id=cctv5plus
愛爾達體育1台,https://smart.pendy.dpdns.org/Smart.php?id=eltasport1_twn
愛爾達體育2台,https://smart.pendy.dpdns.org/Smart.php?id=eltasport2_twn
愛爾達體育3台,https://smart.pendy.dpdns.org/Smart.php?id=eltasport3_twn
RTM Sports HD,https://smart.pendy.dpdns.org/Smart.php?id=Rtmsport
Arena,https://smart.pendy.dpdns.org/Smart.php?id=Arena
Arena 2,https://smart.pendy.dpdns.org/Smart.php?id=Arena2
BolaArena 1,https://smart.pendy.dpdns.org/Smart.php?id=Bolaarena1
Bein 1 Sports,https://smart.pendy.dpdns.org/Smart.php?id=bein1_mega
Bein 2 Sports,https://smart.pendy.dpdns.org/Smart.php?id=bein2_mega
Bein 3 Sports,https://smart.pendy.dpdns.org/Smart.php?id=bein3_mega
Bein 4 Sports,https://smart.pendy.dpdns.org/Smart.php?id=bein4_mega
Bein 5 Sports,https://smart.pendy.dpdns.org/Smart.php?id=bein5_mega
Bein 6 Sports,https://smart.pendy.dpdns.org/Smart.php?id=bein6_mega
Bein 7 Sports,https://smart.pendy.dpdns.org/Smart.php?id=bein7_mega
Rugby Pass TV,https://smart.pendy.dpdns.org/Smart.php?id=Rugbypasstv
BolaArena 2,https://smart.pendy.dpdns.org/Smart.php?id=Bolaarena2
印度 Indian,#genre#
Sun TV HD,https://smart.pendy.dpdns.org/Smart.php?id=Suntv
Star Vijay,https://smart.pendy.dpdns.org/Smart.php?id=Starvijay
Colors Tamil,https://smart.pendy.dpdns.org/Smart.php?id=Colorstam_mega
Sun Music,https://smart.pendy.dpdns.org/Smart.php?id=Sunmusic
Astro Sunlife,https://smart.pendy.dpdns.org/Smart.php?id=Sunlife
Astro Vaanavil,https://smart.pendy.dpdns.org/Smart.php?id=Vaanavil
Zee Tamil,https://smart.pendy.dpdns.org/Smart.php?id=Zeetamil
Zee Business,https://smart.pendy.dpdns.org/Smart.php?id=Zeebusiness
News 18 Tamil,https://smart.pendy.dpdns.org/Smart.php?id=news18tamil_raj
Adithya,https://smart.pendy.dpdns.org/Smart.php?id=Adithya
Makkal TV,https://smart.pendy.dpdns.org/Smart.php?id=Makkaltv
Zee Action,https://smart.pendy.dpdns.org/Smart.php?id=Zeeaction
Astro KTV,https://smart.pendy.dpdns.org/Smart.php?id=Astroktv
Zee TV HD,https://smart.pendy.dpdns.org/Smart.php?id=Zeetvhd
Zee Cinema HD,https://smart.pendy.dpdns.org/Smart.php?id=Zeecinemahd
Color HD,https://smart.pendy.dpdns.org/Smart.php?id=Colorhd
Starplus HD,https://smart.pendy.dpdns.org/Smart.php?id=Starplushd
Picture HD,https://smart.pendy.dpdns.org/Smart.php?id=Npicture
Zee News,https://smart.pendy.dpdns.org/Smart.php?id=Zeenews
Asianet,https://smart.pendy.dpdns.org/Smart.php?id=asianet_raj
Asianet News,https://smart.pendy.dpdns.org/Smart.php?id=asianetnews_raj
Times Now,https://smart.pendy.dpdns.org/Smart.php?id=timesnow_mega
BBC Earth Tamil,https://smart.pendy.dpdns.org/Smart.php?id=bbcearthtam_raj
Discovery World Tamil,https://smart.pendy.dpdns.org/Smart.php?id=discoveryworldtam_raj
History Tamil,https://smart.pendy.dpdns.org/Smart.php?id=historytam_raj
NatGeo Tamil,https://smart.pendy.dpdns.org/Smart.php?id=natgeotamil_raj
Natgeo Wild Tamil,https://smart.pendy.dpdns.org/Smart.php?id=natgeowildtamil_raj
Discovery Kids Tamil,https://smart.pendy.dpdns.org/Smart.php?id=discoverykidtamil_raj
Discovery Tamil,https://smart.pendy.dpdns.org/Smart.php?id=discoverytamil_raj
Sony Yay Tamil,https://smart.pendy.dpdns.org/Smart.php?id=sonyyaytam_raj
Sun TV India,https://smart.pendy.dpdns.org/Smart.php?id=suntv_raj
Starmaa HD,https://smart.pendy.dpdns.org/Smart.php?id=starmaa_raj
Starmaa Movies HD,https://smart.pendy.dpdns.org/Smart.php?id=starmaamovies_raj
Bollyone,https://smart.pendy.dpdns.org/Smart.php?id=Bollyone
Astro Sunmusic,https://smart.pendy.dpdns.org/Smart.php?id=Sunmusic
Sony Pix HD,https://smart.pendy.dpdns.org/Smart.php?id=sonypix_mega
Vijay Super,https://smart.pendy.dpdns.org/Smart.php?id=vijaysuper_raj
電影 Movie,#genre#
